line-ID;spec;order;pop;degN;degE;perc;n2;dl2;;;;;;;;;;;;;;
1-el_paso;Pectinophora gossypiella;lepidoptera;el_paso;31.779;-106.478;96.3689097;275;10;;;;;;;;;;;;;;
1-el_paso;Pectinophora gossypiella;lepidoptera;el_paso;31.779;-106.478;96.46126675;275;11;;;;;;;;;;;;;;
1-el_paso;Pectinophora gossypiella;lepidoptera;el_paso;31.779;-106.478;86.7524345;275;12;;;;;;;;;;;;;;
1-el_paso;Pectinophora gossypiella;lepidoptera;el_paso;31.779;-106.478;64.20273182;275;12.5;;;;;;;;;;;;;;
1-el_paso;Pectinophora gossypiella;lepidoptera;el_paso;31.779;-106.478;10.61619975;275;13;;;;;;;;;;;;;;
1-port_lavaca;Pectinophora gossypiella;lepidoptera;port_lavaca;28.61;-96.629;95.81818182;275;10;;;;;;;;;;;;;;
1-port_lavaca;Pectinophora gossypiella;lepidoptera;port_lavaca;28.61;-96.629;95.04504505;275;11;;;;;;;;;;;;;;
1-port_lavaca;Pectinophora gossypiella;lepidoptera;port_lavaca;28.61;-96.629;83;275;12;;;;;;;;;;;;;;
1-port_lavaca;Pectinophora gossypiella;lepidoptera;port_lavaca;28.61;-96.629;81.34070434;275;12.5;;;;;;;;;;;;;;
1-port_lavaca;Pectinophora gossypiella;lepidoptera;port_lavaca;28.61;-96.629;20.04586405;275;13;;;;;;;;;;;;;;
1-port_lavaca;Pectinophora gossypiella;lepidoptera;port_lavaca;28.61;-96.629;4.909090909;275;14;;;;;;;;;;;;;;
1-virgin_is;Pectinophora gossypiella;lepidoptera;virgin_is;18.333;-64.75;71.94332233;175;10;;;;;;;;;;;;;;
1-virgin_is;Pectinophora gossypiella;lepidoptera;virgin_is;18.333;-64.75;79.54988096;175;11;;;;;;;;;;;;;;
1-virgin_is;Pectinophora gossypiella;lepidoptera;virgin_is;18.333;-64.75;48.2734813;175;12.5;;;;;;;;;;;;;;
1-virgin_is;Pectinophora gossypiella;lepidoptera;virgin_is;18.333;-64.75;5.488057753;175;13;;;;;;;;;;;;;;
5-Guangzhou;Helicoverpa armigera;lepidoptera;Guangzhou;23.08;113.14;0.131232334;71.5;11;;;;;;;;;;;;;;
5-Guangzhou;Helicoverpa armigera;lepidoptera;Guangzhou;23.08;113.14;26.95499308;71.5;12;;;;;;;;;;;;;;
5-Guangzhou;Helicoverpa armigera;lepidoptera;Guangzhou;23.08;113.14;21.2334557;71.5;13;;;;;;;;;;;;;;
5-Guangzhou;Helicoverpa armigera;lepidoptera;Guangzhou;23.08;113.14;0.289288214;71.5;14;;;;;;;;;;;;;;
5-Guangzhou;Helicoverpa armigera;lepidoptera;Guangzhou;23.08;113.14;0.079508841;71.5;15;;;;;;;;;;;;;;
5-Guangzhou;Helicoverpa armigera;lepidoptera;Guangzhou;23.08;113.14;0.130270533;71.5;16;;;;;;;;;;;;;;
5-Yongxiu;Helicoverpa armigera;lepidoptera;Yongxiu;29.04;116.82;72.44056874;71.5;11;;;;;;;;;;;;;;
5-Yongxiu;Helicoverpa armigera;lepidoptera;Yongxiu;29.04;116.82;43.49154951;71.5;12;;;;;;;;;;;;;;
5-Yongxiu;Helicoverpa armigera;lepidoptera;Yongxiu;29.04;116.82;31.99386585;71.5;13;;;;;;;;;;;;;;
5-Yongxiu;Helicoverpa armigera;lepidoptera;Yongxiu;29.04;116.82;5.669493291;71.5;14;;;;;;;;;;;;;;
5-Yongxiu;Helicoverpa armigera;lepidoptera;Yongxiu;29.04;116.82;-0.183917627;71.5;15;;;;;;;;;;;;;;
5-Yongxiu;Helicoverpa armigera;lepidoptera;Yongxiu;29.04;116.82;0.130270533;71.5;16;;;;;;;;;;;;;;
5-Taian;Helicoverpa armigera;lepidoptera;Taian;36.15;116.59;96.45672699;71.5;11;;;;;;;;;;;;;;
5-Taian;Helicoverpa armigera;lepidoptera;Taian;36.15;116.59;84.8287728;71.5;12;;;;;;;;;;;;;;
5-Taian;Helicoverpa armigera;lepidoptera;Taian;36.15;116.59;80.68234401;71.5;13;;;;;;;;;;;;;;
5-Taian;Helicoverpa armigera;lepidoptera;Taian;36.15;116.59;10.7872337;71.5;14;;;;;;;;;;;;;;
5-Taian;Helicoverpa armigera;lepidoptera;Taian;36.15;116.59;2.178905578;71.5;15;;;;;;;;;;;;;;
5-Taian;Helicoverpa armigera;lepidoptera;Taian;36.15;116.59;0.525891135;71.5;16;;;;;;;;;;;;;;
5-Langfang;Helicoverpa armigera;lepidoptera;Langfang;39.31;116.42;96.84978279;71.5;11;;;;;;;;;;;;;;
5-Langfang;Helicoverpa armigera;lepidoptera;Langfang;39.31;116.42;96.64000342;71.5;12;;;;;;;;;;;;;;
5-Langfang;Helicoverpa armigera;lepidoptera;Langfang;39.31;116.42;96.69140631;71.5;13;;;;;;;;;;;;;;
5-Langfang;Helicoverpa armigera;lepidoptera;Langfang;39.31;116.42;65.77326088;71.5;14;;;;;;;;;;;;;;
5-Langfang;Helicoverpa armigera;lepidoptera;Langfang;39.31;116.42;10.18407793;71.5;15;;;;;;;;;;;;;;
5-Langfang;Helicoverpa armigera;lepidoptera;Langfang;39.31;116.42;0.130591133;71.5;16;;;;;;;;;;;;;;
5-Kazuo;Helicoverpa armigera;lepidoptera;Kazuo;41.34;120.27;98.16178553;71.5;11;;;;;;;;;;;;;;
