"row"	"set"	"popid"	"ID"	"PY"	"region"	"pops_left"	"genus"	"spec"	"order"	"pop"	"degN"	"degE"	"nmethod"	"perc"	"n2"	"dl2"	"number"	"nslop"	"inc2"	"b"	"bse"	"c"	"cse"	"d"	"dse"	"e"	"ese"	"col"	"npoints"	"within"	"between"
"b:chen-Langfang-Helicoverpa-armigera"	"newsearch"	"chen-Langfang-Helicoverpa-armigera"	"chen"	2013	"China"	3	"Helicoverpa"	"armigera"	"Lepidoptera"	"Langfang"	39.31	116.42	"global average"	0.1305911333	72	16	2	"n"	0	47.0597507070885	2.96305968599617	0	0.00315964963844626	0.938981673222372	0.00566652814194961	14.2743588279452	0.0276301045959305	"#0040FF"	4	30.987137196746	0.000218300354106675
"b:chen-Taian-Helicoverpa-armigera"	"newsearch"	"chen-Taian-Helicoverpa-armigera"	"chen"	2013	"China"	3	"Helicoverpa"	"armigera"	"Lepidoptera"	"Taian"	36.15	116.59	"global average"	0.5258911349	72	16	3	"n"	0	47.2741583866058	9.68271641549647	0	0.00315964963844626	0.938981673222372	0.00566652814194961	13.4428076727973	0.0498015685728836	"#0040FF"	4	30.9765261887574	0.000218310975736294
"b:chen-Yongxiu-Helicoverpa-armigera"	"newsearch"	"chen-Yongxiu-Helicoverpa-armigera"	"chen"	2013	"China"	3	"Helicoverpa"	"armigera"	"Lepidoptera"	"Yongxiu"	29.04	116.82	"global average"	0.1302705331	72	16	4	"n"	0	15.997849875293	1.76484467271493	0	0.00315964963844626	0.938981673222372	0.00566652814194961	11.9998218396878	0.144708133608661	"#0040FF"	5	35.5297583889766	0.000213753185746084
"b:gomi-AT-Hyphantria-cunea"	"newsearch"	"gomi-AT-Hyphantria-cunea"	"gomi"	1996	"japan"	6	"Hyphantria"	"cunea"	"Lepidoptera"	"AT"	39.7	140.1	"global average"	0	770	15	3	"n"	0	108.667807730313	14.8674980720726	0	NA	1	NA	14.5507744601092	0.0223932765960345	"#0040FF"	5	1.14914436034123	0.000249099955595254
"b:gomi-FI-Hyphantria-cunea"	"newsearch"	"gomi-FI-Hyphantria-cunea"	"gomi"	1996	"japan"	6	"Hyphantria"	"cunea"	"Lepidoptera"	"FI"	36.1	136.2	"global average"	0	770	15	2	"n"	0	224.160267879195	8.04405639384976	0	NA	1	NA	14.6140888997673	0.0040271445967757	"#0040FF"	4	0.556668350015383	0.000249693024674659
"b:gomi-MB-Hyphantria-cunea"	"newsearch"	"gomi-MB-Hyphantria-cunea"	"gomi"	1996	"japan"	6	"Hyphantria"	"cunea"	"Lepidoptera"	"MB"	36.4	139.1	"global average"	0	770	15	2	"n"	0	151.607155297671	25.2789523171285	0	NA	1	NA	14.5586129738694	0.0280761475476669	"#0040FF"	4	0.823670189904249	0.000249425755565661
"b:gomi-SO-Hyphantria-cunea"	"newsearch"	"gomi-SO-Hyphantria-cunea"	"gomi"	1996	"japan"	6	"Hyphantria"	"cunea"	"Lepidoptera"	"SO"	35	138.4	"global average"	0	770	14.75	2	"n"	0	225.519613760425	8.9613608687696	0	NA	1	NA	14.4157932831534	0.00347758796266978	"#0040FF"	3	0.553287618995563	0.000249696408789794
"b:gomi-UM-Hyphantria-cunea"	"newsearch"	"gomi-UM-Hyphantria-cunea"	"gomi"	1996	"japan"	6	"Hyphantria"	"cunea"	"Lepidoptera"	"UM"	36.6	139.9	"global average"	6.976744186	770	14.75	2	"n"	53	194.682574084794	49.7852421324609	0	NA	1	NA	14.4857014771025	0.0230911152737414	"#0040FF"	3	0.641325721849812	0.000249608282560711
"b:gomi-UW-Hyphantria-cunea"	"newsearch"	"gomi-UW-Hyphantria-cunea"	"gomi"	1996	"japan"	6	"Hyphantria"	"cunea"	"Lepidoptera"	"UW"	35.9	139.7	"global average"	0	770	14.75	2	"n"	0	177.498485121069	36.5344581700829	0	NA	1	NA	14.256759048742	0.0237150194553032	"#0040FF"	4	0.703490750152099	0.000249546055305153
"b:gotoh- Fukushima-Tetranychus-urticae"	"newsearch"	"gotoh- Fukushima-Tetranychus-urticae"	"gotoh"	1981	"japan"	4	"Tetranychus"	"urticae"	"Trombidiformes"	" Fukushima"	37.75	140.473333	"global average"	0.5972841217	100	13	2	"n"	0	125.217407173051	52.5393064300281	0	0.215869232945239	0.644194328384438	0.0189934801249171	12.4881460661583	0.0815538891399283	"#FF00BF"	4	115.017849290888	0.000103436167888551
