"popid"	"lower_r"	"med_r"	"upper_r"	"order"	"lower_s"	"med_s"	"upper_s"	"order.x"	"lower_b"	"med_b"	"upper_b"	"order.y"	"lower_w"	"med_w"	"upper_w"	"order.x.1"	"order.y.1"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"
"1"	"beach.14.Aedes.atropalpus"	0.564680779803878	0.703558991605309	0.825263931880881	"Diptera"	0.246043279067823	0.249841520361539	0.250191004724606	"Diptera"	0.13925068112175	0.175654418714599	0.20627949772943	"Diptera"	0.043642750433422	0.0740275520479417	0.10729726441761	"Diptera"	"Diptera"	11.154067893343	11.3677217704343	11.6001276802486	"beach"	1978	"3"	"US"	"Aedes"	"atropalpus"	"global average"	14.3	-89.466667	7
"2"	"beach.34.Aedes.atropalpus"	0.780351872007051	0.862539816968666	0.920492819043963	"Diptera"	0.24793914403344	0.249676988107918	0.250178779074862	"Diptera"	0.193803035146251	0.215325313181885	0.230154678749002	"Diptera"	0.019885042795892	0.0343093628664995	0.0545315711384146	"Diptera"	"Diptera"	12.6182856709036	12.8990205109343	12.9817991437096	"beach"	1978	"3"	"US"	"Aedes"	"atropalpus"	"global average"	34.725	-83.370278	5
"3"	"beach.45.Aedes.atropalpus"	0.718378629802448	0.804014517669911	0.891985769020752	"Diptera"	0.245672523465455	0.248606942942203	0.250046915394309	"Diptera"	0.176583906673822	0.19983583243973	0.222969166904862	"Diptera"	0.0270198886388808	0.0487063644205886	0.0692273190065545	"Diptera"	"Diptera"	14.0474144889301	14.5002219822993	14.9628833213904	"beach"	1978	"3"	"US"	"Aedes"	"atropalpus"	"global average"	45.472222	-76.194444	7
"4"	"bradshaw.CB.Wyeomyia.smithii"	0.931338379162251	0.949209838332395	0.9618103709124	"Diptera"	0.250127814354825	0.250202977009542	0.250233835787526	"Diptera"	0.232961219884499	0.237495168466335	0.240669994509446	"Diptera"	0.00955596127247625	0.0127071453982447	0.0171732773274925	"Diptera"	"Diptera"	14.0204087876264	14.0566361434309	14.0929823868114	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35.1	0	20
"5"	"bradshaw.CR.Wyeomyia.smithii"	0.86734561052321	0.910678304246532	0.946622267271985	"Diptera"	0.249607367716842	0.250066485089882	0.250223951067239	"Diptera"	0.216607025303687	0.227715312763582	0.236849238336665	"Diptera"	0.0133553538477325	0.0223392898581487	0.0331375903820263	"Diptera"	"Diptera"	12.2623122324594	12.3049444229997	12.3462135887664	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	30.8	0	16
"6"	"bradshaw.DB.Wyeomyia.smithii"	0.855686549281302	0.881341647498428	0.902998594558595	"Diptera"	0.249258367181082	0.249649898598928	0.249918823836881	"Diptera"	0.21330907820556	0.220032979927868	0.225631605209876	"Diptera"	0.0242335910315265	0.0296201461352186	0.0360050457047303	"Diptera"	"Diptera"	13.8227141584261	13.8615951658404	13.8999343929233	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35	0	20
"7"	"bradshaw.DL.Wyeomyia.smithii"	0.833055194564028	0.879148685955748	0.915704864788378	"Diptera"	0.248732437092559	0.249595842204241	0.250007523588452	"Diptera"	0.207213176550229	0.219437084251575	0.228918364172967	"Diptera"	0.0210751736431923	0.0301645518384727	0.0415331734827234	"Diptera"	"Diptera"	15.5636000597383	15.6031129536264	15.6429140062246	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	49.5	0	16
"8"	"bradshaw.GS.Wyeomyia.smithii"	0.873704304991561	0.90108282427255	0.923353323861066	"Diptera"	0.250067117613349	0.25019070174961	0.250225984580152	"Diptera"	0.218582693695773	0.225437873307467	0.231007613764322	"Diptera"	0.0191780303462141	0.0247464221752495	0.0315920705525682	"Diptera"	"Diptera"	12.7023406438926	12.7440008082059	12.7860014165245	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	34.1	0	21
"9"	"bradshaw.HK.Wyeomyia.smithii"	0.903608122418534	0.926044579643751	0.943648023464225	"Diptera"	0.249964832302686	0.250120518983787	0.250201802691948	"Diptera"	0.225923883965538	0.231623120360049	0.236072866043328	"Diptera"	0.0140975969548288	0.0184970499006866	0.0241055528787131	"Diptera"	"Diptera"	13.8242831309808	13.8590907933939	13.8931245943235	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35	0	20
"10"	"bradshaw.HV.Wyeomyia.smithii"	0.82196369148002	0.859822154288181	0.891029188853115	"Diptera"	0.249582982461782	0.249981879148528	0.250178146901501	"Diptera"	0.205357364445482	0.214935874915844	0.222793286957713	"Diptera"	0.0272466748645783	0.0350383333685124	0.0444775616960107	"Diptera"	"Diptera"	13.6507899284898	13.6893762979615	13.7285629750797	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	39.6	0	16
